文部科学省　学校コード一覧,,,,,,,,,,更新日：,2026/5/20
学校コード,学校種,都道府県番号,"設置
区分",本分校,学校名,学校所在地,郵便番号,"属性情報
設定年月日","属性情報
廃止年月日","旧学校
調査番号",移行後の学校コード
A128210002213,A1(幼稚園),28(兵庫),2(公),1(本),稲美町立天満東幼稚園,兵庫県加古郡稲美町岡１４９８－１,6751113,2020-12-22,,287630,
A128210002222,A1(幼稚園),28(兵庫),2(公),1(本),播磨町立播磨幼稚園,兵庫県加古郡播磨町宮北１－７－７,6750143,2020-12-22,,287631,
A128210002231,A1(幼稚園),28(兵庫),2(公),1(本),播磨町立蓮池幼稚園,兵庫県加古郡播磨町野添２－１０－３５,6750160,2020-12-22,,287632,
A128210002240,A1(幼稚園),28(兵庫),2(公),9(廃),播磨町立播磨西幼稚園,兵庫県加古郡播磨町北本荘４－５－２５,6750144,2020-12-22,2023-05-01,287633,A228210000946
A128210002259,A1(幼稚園),28(兵庫),2(公),1(本),姫路市立坊勢幼稚園,兵庫県姫路市家島町坊勢３０３－３,6720103,2020-12-22,,287639,
A128210002268,A1(幼稚園),28(兵庫),2(公),1(本),姫路市立家島幼稚園,兵庫県姫路市家島町真浦２１５２,6720101,2020-12-22,,287640,
A128210002277,A1(幼稚園),28(兵庫),2(公),9(廃),姫路市立置塩幼稚園,兵庫県姫路市夢前町宮置２４５－２,6712121,2020-12-22,2022-05-01,287641,
A128210002286,A1(幼稚園),28(兵庫),2(公),9(廃),姫路市立菅生幼稚園,兵庫県姫路市夢前町菅生澗８２９－１,6712134,2020-12-22,2025-05-01,287645,
A128210002295,A1(幼稚園),28(兵庫),2(公),1(本),神河町立神崎幼稚園,兵庫県神崎郡神河町粟賀町６１１,6792414,2020-12-22,,287655,
A128210002302,A1(幼稚園),28(兵庫),2(公),1(本),神河町立寺前幼稚園,兵庫県神崎郡神河町寺前１９２,6793116,2020-12-22,,287661,
A128210002311,A1(幼稚園),28(兵庫),2(公),1(本),神河町立長谷幼稚園,兵庫県神崎郡神河町長谷６４７番地,6793103,2020-12-22,,287662,
A128210002320,A1(幼稚園),28(兵庫),2(公),9(廃),たつの市立香島幼稚園,兵庫県たつの市新宮町香山１１２３－１,6794302,2020-12-22,2022-05-01,287692,
A128210002339,A1(幼稚園),28(兵庫),2(公),9(廃),太子町立龍田幼稚園,兵庫県揖保郡太子町佐用岡３９０番地２,6711575,2020-12-22,2026-05-01,287701,
A128210002348,A1(幼稚園),28(兵庫),2(公),1(本),太子町立斑鳩幼稚園,兵庫県揖保郡太子町馬場５,6711551,2020-12-22,,287702,
A128210002357,A1(幼稚園),28(兵庫),2(公),1(本),太子町立太田幼稚園,兵庫県揖保郡太子町東出１２６１２７合併番地の１,6711521,2020-12-22,,287703,
A128210002366,A1(幼稚園),28(兵庫),2(公),1(本),太子町立石海幼稚園,兵庫県揖保郡太子町福地５０１－１,6711534,2020-12-22,,287704,
A128210002375,A1(幼稚園),28(兵庫),2(公),9(廃),たつの市立半田幼稚園,兵庫県たつの市揖保川町新在家１７３,6711611,2020-12-22,2023-05-01,287711,
A128210002384,A1(幼稚園),28(兵庫),2(公),9(廃),たつの市立河内幼稚園,兵庫県たつの市揖保川町浦部１７９,6711663,2020-12-22,2023-05-01,287713,
A128210002393,A1(幼稚園),28(兵庫),2(公),9(廃),上郡町立上郡幼稚園,兵庫県赤穂郡上郡町上郡３７５－１,6781231,2020-12-22,2022-05-01,287716,A228210000928
A128210002400,A1(幼稚園),28(兵庫),2(公),9(廃),上郡町立山野里幼稚園,兵庫県赤穂郡上郡町山野里２１４７,6781241,2020-12-22,2022-05-01,287717,A228210000928
A128210002419,A1(幼稚園),28(兵庫),2(公),9(廃),上郡町立高田幼稚園,兵庫県赤穂郡上郡町中野７０８－１,6781216,2020-12-22,2022-05-01,287718,A228210000928
A128210002428,A1(幼稚園),28(兵庫),2(公),9(廃),宍粟市立山崎幼稚園,兵庫県宍粟市山崎町金谷３３－３,6712579,2020-12-22,2024-05-01,287731,
A128210002437,A1(幼稚園),28(兵庫),2(公),9(廃),宍粟市立菅野幼稚園,兵庫県宍粟市山崎町青木１７２－１,6712564,2020-12-22,2023-05-01,287732,
A128210002446,A1(幼稚園),28(兵庫),2(公),9(廃),宍粟市立城下幼稚園,兵庫県宍粟市山崎町金谷３３－３,6712555,2020-12-22,2024-05-01,287733,
A128210002455,A1(幼稚園),28(兵庫),2(公),1(本),宍粟市立河東幼稚園,兵庫県宍粟市山崎町三谷５７－６,6712524,2020-12-22,,287734,
A128210002464,A1(幼稚園),28(兵庫),2(公),9(廃),宍粟市立神野幼稚園,兵庫県宍粟市山崎町田井６４５－９,6712514,2020-12-22,2023-05-01,287735,
A128210002473,A1(幼稚園),28(兵庫),2(公),9(廃),宍粟市立伊水幼稚園,兵庫県宍粟市山崎町宇野５８１ー１,6712506,2020-12-22,2021-05-27,287736,
A128210002482,A1(幼稚園),28(兵庫),2(公),9(廃),宍粟市立都多幼稚園,兵庫県宍粟市山崎町中野１００３－１,6712502,2020-12-22,2021-05-27,287737,
A128210002491,A1(幼稚園),28(兵庫),2(公),1(本),宍粟市立波賀幼稚園,兵庫県宍粟市波賀町安賀６５４－１,6714241,2020-12-22,,287761,
A128210002507,A1(幼稚園),28(兵庫),2(公),9(廃),香美町立奥佐津幼稚園,兵庫県美方郡香美町香住区上岡１８０,6696414,2020-12-22,2024-05-01,287781,A128210002534
A128210002516,A1(幼稚園),28(兵庫),2(公),9(廃),香美町立佐津幼稚園,兵庫県美方郡香美町香住区訓谷３４０,6696402,2020-12-22,2024-05-01,287782,A128210002534
A128210002525,A1(幼稚園),28(兵庫),2(公),9(廃),香美町立柴山幼稚園,兵庫県美方郡香美町香住区上計３４,6696432,2020-12-22,2026-05-01,287783,A128210002534
A128210002534,A1(幼稚園),28(兵庫),2(公),1(本),香美町立香住幼稚園,兵庫県美方郡香美町香住区香住１５９５－９,6696544,2020-12-22,,287784,
A128210002543,A1(幼稚園),28(兵庫),2(公),9(廃),香美町立長井幼稚園,兵庫県美方郡香美町香住区大野８３－１,6696555,2020-12-22,2026-05-01,287785,A128210002534
A128210002552,A1(幼稚園),28(兵庫),2(公),9(廃),香美町立余部幼稚園,兵庫県美方郡香美町香住区余部１６９７,6696671,2020-12-22,2026-05-01,287786,A128210002534
A128210002561,A1(幼稚園),28(兵庫),2(公),9(廃),豊岡市立日高幼稚園,兵庫県豊岡市日高町岩中４６－１,6695302,2020-12-22,2024-05-01,287792,
A128210002570,A1(幼稚園),28(兵庫),2(公),1(本),豊岡市立出石幼稚園,兵庫県豊岡市出石町町分３６－２,6680221,2020-12-22,,287801,
A128210002589,A1(幼稚園),28(兵庫),2(公),1(本),豊岡市立福住幼稚園,兵庫県豊岡市出石町福住２０９,6680263,2020-12-22,,287802,
A128210002598,A1(幼稚園),28(兵庫),2(公),9(廃),豊岡市立寺坂幼稚園,兵庫県豊岡市出石町日野辺１－１,6680246,2020-12-22,2024-05-01,287803,
A128210002605,A1(幼稚園),28(兵庫),2(公),1(本),香美町立村岡幼稚園,兵庫県美方郡香美町村岡区村岡２９４０,6671311,2020-12-22,,287826,
A128210002614,A1(幼稚園),28(兵庫),2(公),1(本),香美町立うづか幼稚園,兵庫県美方郡香美町村岡区福岡３２４,6671334,2020-12-22,,287827,
A128210002623,A1(幼稚園),28(兵庫),2(公),1(本),香美町立射添幼稚園,兵庫県美方郡香美町村岡区川会３８,6671366,2020-12-22,,287828,
A128210002632,A1(幼稚園),28(兵庫),2(公),1(本),丹波篠山市立篠山幼稚園,兵庫県丹波篠山市北新町５,6692332,2020-12-22,,287946,
A128210002641,A1(幼稚園),28(兵庫),2(公),1(本),丹波篠山市立たまみず幼稚園,兵庫県丹波篠山市黒岡８９,6692321,2020-12-22,,287948,
A128210002650,A1(幼稚園),28(兵庫),2(公),1(本),丹波篠山市立岡野幼稚園,兵庫県丹波篠山市東浜谷５３１,6692351,2020-12-22,,287949,
A128210002669,A1(幼稚園),28(兵庫),2(公),1(本),丹波篠山市立八上幼稚園,兵庫県丹波篠山市糯ケ坪８９,6692437,2020-12-22,,287950,
A128210002678,A1(幼稚園),28(兵庫),2(公),1(本),丹波篠山市立かやのみ幼稚園,兵庫県丹波篠山市日置１６２,6692441,2020-12-22,,287956,
A128210002687,A1(幼稚園),28(兵庫),2(公),1(本),丹波篠山市立西紀みなみ幼稚園,兵庫県丹波篠山市黒田１８６番地,6692726,2020-12-22,,287966,
A128210002696,A1(幼稚園),28(兵庫),2(公),1(本),丹波篠山市立西紀きた幼稚園,兵庫県丹波篠山市本郷１５９,6692702,2020-12-22,,287967,
A128210002703,A1(幼稚園),28(兵庫),2(公),1(本),丹波篠山市立大山幼稚園,兵庫県丹波篠山市大山新９９,6692827,2020-12-22,,287968,
A128210002712,A1(幼稚園),28(兵庫),2(公),1(本),丹波篠山市立城南幼稚園,兵庫県丹波篠山市小枕１４０－２,6692461,2020-12-22,,287969,
A128210002721,A1(幼稚園),28(兵庫),2(公),1(本),丹波篠山市立古市幼稚園,兵庫県丹波篠山市波賀野新田７４－１,6692122,2020-12-22,,287971,
A128210002730,A1(幼稚園),28(兵庫),2(公),9(廃),丹波篠山市立今田幼稚園,兵庫県丹波篠山市今田町今田１－３,6692151,2020-12-22,2025-05-01,287974,
A128210002749,A1(幼稚園),28(兵庫),2(公),1(本),南あわじ市立津井幼稚園,兵庫県南あわじ市津井２２８０－２,6560341,2020-12-22,,287981,
A128210002758,A1(幼稚園),28(兵庫),2(公),1(本),南あわじ市立湊幼稚園,兵庫県南あわじ市湊７３６,6560332,2020-12-22,,287982,
A128210002767,A1(幼稚園),28(兵庫),2(公),1(本),南あわじ市立志知幼稚園,兵庫県南あわじ市志知南１５,6560326,2020-12-22,,287986,
A128210002776,A1(幼稚園),28(兵庫),2(公),1(本),加古川市立平岡北幼稚園,兵庫県加古川市平岡町新在家１４０７－１,6750101,2020-12-22,,287991,
A128210002785,A1(幼稚園),28(兵庫),2(公),1(本),加古川市立野口南幼稚園,兵庫県加古川市野口町古大内２４５－５,6750014,2020-12-22,,287992,
A128210002794,A1(幼稚園),28(兵庫),2(公),1(本),豊岡市立豊岡幼稚園,兵庫県豊岡市山王町７－５,6680044,2023-05-01,,,
A128210002810,A1(幼稚園),28(兵庫),2(公),1(本),三田市立認定こども園ありまふじ幼稚園,兵庫県三田市志手原８８１,6691506,2025-05-01,,,
A128210002829,A1(幼稚園),28(兵庫),2(公),1(本),おの幼稚園,兵庫県小野市西本町４９７－１,6751375,2026-05-01,,,
A128310000017,A1(幼稚園),28(兵庫),3(私),1(本),甲南幼稚園,兵庫県神戸市東灘区住吉本町１－１２－１,6580051,2020-12-22,,286511,
A128310000026,A1(幼稚園),28(兵庫),3(私),1(本),群華幼稚園,兵庫県神戸市東灘区御影郡家１－２３－１９,6580048,2020-12-22,,286512,
A128310000035,A1(幼稚園),28(兵庫),3(私),1(本),本山幼稚園,兵庫県神戸市東灘区本山北町６－４－１,6580003,2020-12-22,,286513,
A128310000044,A1(幼稚園),28(兵庫),3(私),1(本),甲南同胞幼稚園,兵庫県神戸市東灘区田中町３－９－１４,6580081,2020-12-22,,286514,
A128310000053,A1(幼稚園),28(兵庫),3(私),1(本),光の園幼稚園,兵庫県神戸市東灘区岡本１－１４－１２,6580072,2020-12-22,,286515,
A128310000062,A1(幼稚園),28(兵庫),3(私),9(廃),岡本信愛幼稚園,兵庫県神戸市東灘区岡本２丁目１１番２０号,6580072,2020-12-22,2024-05-01,286517,A228310004833
A128310000071,A1(幼稚園),28(兵庫),3(私),1(本),星の園幼稚園,兵庫県神戸市東灘区住吉宮町２－１８－２３,6580053,2020-12-22,,286518,
A128310000080,A1(幼稚園),28(兵庫),3(私),1(本),青い鳥学園第一幼稚園,兵庫県神戸市東灘区深江北町２丁目９－２２,6580013,2020-12-22,,286520,
A128310000099,A1(幼稚園),28(兵庫),3(私),1(本),学校法人住吉学園住吉学園幼稚園,兵庫県神戸市東灘区住吉本町３－３－４,6580051,2020-12-22,,286522,
A128310000106,A1(幼稚園),28(兵庫),3(私),1(本),青い鳥学園第二幼稚園,兵庫県神戸市東灘区本山南町４丁目３－１,6580015,2020-12-22,,286523,
A128310000115,A1(幼稚園),28(兵庫),3(私),1(本),頌栄幼稚園,兵庫県神戸市東灘区御影山手１－１８－１,6580065,2020-12-22,,286525,
A128310000124,A1(幼稚園),28(兵庫),3(私),1(本),青い鳥学園六甲アイランド幼稚園,兵庫県神戸市東灘区向洋町中６丁目１番地,6580032,2020-12-22,,286526,
A128310000133,A1(幼稚園),28(兵庫),3(私),1(本),夢の星幼稚園,兵庫県神戸市東灘区向洋町中３－１－３,6580032,2020-12-22,,286527,
A128310000142,A1(幼稚園),28(兵庫),3(私),1(本),六甲幼稚園,兵庫県神戸市灘区宮山町３丁目３番５号,6570065,2020-12-22,,286533,
A128310000151,A1(幼稚園),28(兵庫),3(私),1(本),ランバス記念幼稚園,兵庫県神戸市灘区岸地通５－２－１７,6570832,2020-12-22,,286536,
A128310000160,A1(幼稚園),28(兵庫),3(私),1(本),認定こども園　若草幼稚園,兵庫県神戸市灘区土山町１－５,6570022,2020-12-22,,286538,
A128310000179,A1(幼稚園),28(兵庫),3(私),1(本),かおる幼稚園,兵庫県神戸市灘区薬師通４－２－８,6570815,2020-12-22,,286541,
A128310000188,A1(幼稚園),28(兵庫),3(私),9(廃),ホザナ幼稚園,兵庫県神戸市灘区六甲町５丁目７番８号,6570053,2020-12-22,2023-05-01,286542,A228310004619
A128310000197,A1(幼稚園),28(兵庫),3(私),9(廃),西灘幼稚園,兵庫県神戸市灘区岩屋北町３－２－１４,6570846,2020-12-22,2025-05-01,286544,
A128310000204,A1(幼稚園),28(兵庫),3(私),1(本),鶴甲幼稚園,兵庫県神戸市灘区鶴甲２丁目２－１２６,6570011,2020-12-22,,286545,
A128310000213,A1(幼稚園),28(兵庫),3(私),1(本),熊内幼稚園,兵庫県神戸市中央区熊内町９丁目２番１８号,6510056,2020-12-22,,286551,
A128310000222,A1(幼稚園),28(兵庫),3(私),1(本),聖ラファエル幼稚園,兵庫県神戸市中央区熊野町２－９－１９,6510056,2020-12-22,,286555,
A128310000231,A1(幼稚園),28(兵庫),3(私),1(本),明照幼稚園,兵庫県神戸市中央区熊内町３－２－３,6510056,2020-12-22,,286556,
A128310000240,A1(幼稚園),28(兵庫),3(私),1(本),小さき花の園幼稚園,兵庫県神戸市中央区籠池通５－１－１３,6510053,2020-12-22,,286559,
A128310000259,A1(幼稚園),28(兵庫),3(私),1(本),学校法人城口学園山手幼稚園,兵庫県神戸市中央区山本通３－１６－１２,6500003,2020-12-22,,286564,
A128310000268,A1(幼稚園),28(兵庫),3(私),1(本),神戸教会いずみ幼稚園,兵庫県神戸市中央区花隈町９番１８号,6500013,2020-12-22,,286565,
A128310000277,A1(幼稚園),28(兵庫),3(私),1(本),学校法人光の丘幼稚園,兵庫県神戸市中央区山本通１－７－２７,6500003,2020-12-22,,286566,
A128310000286,A1(幼稚園),28(兵庫),3(私),1(本),学校法人神戸華僑幼稚園,兵庫県神戸市中央区中山手通６丁目４番２０号,6500004,2020-12-22,,286568,
A128310000295,A1(幼稚園),28(兵庫),3(私),1(本),石井幼稚園,兵庫県神戸市兵庫区都由乃町１－１－１１,6520023,2020-12-22,,286577,
A128310000302,A1(幼稚園),28(兵庫),3(私),9(廃),聖ミカエル兵庫幼稚園,兵庫県神戸市兵庫区吉田町１丁目１番１号,6520872,2020-12-22,2022-05-01,286582,A228310004414
A128310000311,A1(幼稚園),28(兵庫),3(私),1(本),認定こども園みなと幼稚園,兵庫県神戸市兵庫区荒田町３―２０―４,6520032,2020-12-22,,286584,
A128310000320,A1(幼稚園),28(兵庫),3(私),9(廃),たちえ幼稚園,兵庫県神戸市兵庫区菊水町１０－３９－２５,6520058,2020-12-22,2025-05-01,286586,
A128310000339,A1(幼稚園),28(兵庫),3(私),9(廃),長田幼稚園,兵庫県神戸市長田区蓮宮通４丁目８－２,6530831,2020-12-22,2022-05-01,286591,
A128310000348,A1(幼稚園),28(兵庫),3(私),1(本),昭和幼稚園,兵庫県神戸市長田区腕塚町６丁目１－２２,6530036,2020-12-22,,286592,
A128310000357,A1(幼稚園),28(兵庫),3(私),1(本),しろはな幼稚園,兵庫県神戸市長田区池田寺町２５番地,6530822,2020-12-22,,286595,
A128310000366,A1(幼稚園),28(兵庫),3(私),1(本),学校法人岡田学院あけぼの幼稚園,兵庫県神戸市長田区片山町１丁目６－１２,6530805,2020-12-22,,286598,
A128310000375,A1(幼稚園),28(兵庫),3(私),1(本),丸山小羊幼稚園,兵庫県神戸市長田区西丸山町２丁目３－３４,6530874,2020-12-22,,286601,
A128310000384,A1(幼稚園),28(兵庫),3(私),1(本),光の子幼稚園,兵庫県神戸市長田区宮川町４丁目３１番地の６,6530813,2020-12-22,,286603,
A128310000393,A1(幼稚園),28(兵庫),3(私),9(廃),学校法人西尾学園名倉みふね幼稚園,兵庫県神戸市長田区名倉町２丁目５番５号,6530883,2020-12-22,2021-05-27,286604,
A128310000400,A1(幼稚園),28(兵庫),3(私),1(本),神戸常盤大学附属ときわ幼稚園,兵庫県神戸市長田区大谷町２－６－２,6530838,2020-12-22,,286605,
A128310000419,A1(幼稚園),28(兵庫),3(私),1(本),学校法人穐原学園高取台幼稚園,兵庫県神戸市長田区上池田３丁目１７番６号,6530827,2020-12-22,,286606,
A128310000428,A1(幼稚園),28(兵庫),3(私),1(本),須磨浦幼稚園,兵庫県神戸市須磨区千守町２－１－８,6540072,2020-12-22,,286610,
A128310000437,A1(幼稚園),28(兵庫),3(私),1(本),千鳥幼稚園,兵庫県神戸市須磨区千守町１－３－２１,6540072,2020-12-22,,286611,
A128310000446,A1(幼稚園),28(兵庫),3(私),1(本),兵庫大学附属須磨幼稚園,兵庫県神戸市須磨区行幸町２－６－１９,6540052,2020-12-22,,286612,
A128310000455,A1(幼稚園),28(兵庫),3(私),1(本),禅昌寺幼稚園,兵庫県神戸市須磨区禅昌寺町２－５－１,6540001,2020-12-22,,286615,
A128310000464,A1(幼稚園),28(兵庫),3(私),1(本),育英幼稚園,兵庫県神戸市須磨区板宿町２丁目２－１,6540009,2020-12-22,,286619,
A128310000473,A1(幼稚園),28(兵庫),3(私),1(本),須磨みどり幼稚園,兵庫県神戸市須磨区中島町２－５－１５,6540035,2020-12-22,,286621,
A128310000482,A1(幼稚園),28(兵庫),3(私),1(本),平田幼稚園,兵庫県神戸市須磨区平田町３丁目２番４号,6540021,2020-12-22,,286622,
A128310000491,A1(幼稚園),28(兵庫),3(私),1(本),認定こども園妙法寺幼稚園,兵庫県神戸市須磨区妙法寺字前田７７,6540121,2020-12-22,,286624,
A128310000507,A1(幼稚園),28(兵庫),3(私),1(本),白川台幼稚園,兵庫県神戸市須磨区白川台５丁目５３の１,6540103,2020-12-22,,286626,
A128310000516,A1(幼稚園),28(兵庫),3(私),9(廃),神戸女子大学附属高倉台幼稚園,兵庫県神戸市須磨区高倉台４－２,6540081,2020-12-22,2021-05-27,286627,
A128310000525,A1(幼稚園),28(兵庫),3(私),9(廃),舞子幼稚園,兵庫県神戸市垂水区西舞子４－２－５,6550048,2020-12-22,2024-05-01,286632,A228310004824
A128310000534,A1(幼稚園),28(兵庫),3(私),1(本),聖マリアの園幼稚園,兵庫県神戸市垂水区舞子台８丁目２０－２,6550046,2020-12-22,,286633,
A128310000543,A1(幼稚園),28(兵庫),3(私),1(本),愛徳幼稚園,兵庫県神戸市垂水区霞ヶ丘７丁目４－３,6550039,2020-12-22,,286636,
A128310000552,A1(幼稚園),28(兵庫),3(私),1(本),湊川短期大学附属西舞子幼稚園,兵庫県神戸市垂水区南多聞台５丁目８－１,6550043,2020-12-22,,286639,
A128310000561,A1(幼稚園),28(兵庫),3(私),1(本),星陵台めぐみ幼稚園,兵庫県神戸市垂水区星陵台４－２,6550038,2020-12-22,,286640,
A128310000570,A1(幼稚園),28(兵庫),3(私),1(本),湊川短期大学附属神陵台幼稚園,兵庫県神戸市垂水区神陵台５－８－６,6550041,2020-12-22,,286642,
A128310000589,A1(幼稚園),28(兵庫),3(私),1(本),神陵台愛徳幼稚園,兵庫県神戸市垂水区神陵台７丁目１３－１３,6550041,2020-12-22,,286643,
A128310000598,A1(幼稚園),28(兵庫),3(私),1(本),幼稚園型認定こども園愛垂幼稚園,兵庫県神戸市垂水区瑞ヶ丘６番１３号,6550025,2020-12-22,,286644,
A128310000605,A1(幼稚園),28(兵庫),3(私),1(本),学校法人とよた学園認定こども園さくらんぼ幼稚園,兵庫県神戸市西区桜が丘中町２－８－２,6512226,2020-12-22,,286645,
A128310000614,A1(幼稚園),28(兵庫),3(私),1(本),園田学園大学附属学が丘幼稚園,兵庫県神戸市垂水区学が丘１－１０,6550004,2020-12-22,,286647,
A128310000623,A1(幼稚園),28(兵庫),3(私),1(本),幼稚園型認定こども園　春日台幼稚園,兵庫県神戸市西区春日台４－２,6512276,2020-12-22,,286648,
A128310000632,A1(幼稚園),28(兵庫),3(私),9(廃),いりえ幼稚園,兵庫県神戸市西区狩場台３－６－４,6512272,2020-12-22,2023-05-01,286652,A228310004628
A128310000641,A1(幼稚園),28(兵庫),3(私),1(本),高羽美賀多台幼稚園,兵庫県神戸市西区美賀多台６丁目２,6512277,2020-12-22,,286654,
A128310000650,A1(幼稚園),28(兵庫),3(私),1(本),鈴蘭台幼稚園,兵庫県神戸市北区鈴蘭台南町１－２－１５,6511113,2020-12-22,,286655,
A128310000669,A1(幼稚園),28(兵庫),3(私),1(本),ありの藤原幼稚園,兵庫県神戸市北区藤原台南町１－１１,6511303,2020-12-22,,286658,
A128310000678,A1(幼稚園),28(兵庫),3(私),1(本),認定こども園聖ミカエル幼稚園,兵庫県神戸市北区南五葉３－１－２,6511132,2020-12-22,,286659,
A128310000687,A1(幼稚園),28(兵庫),3(私),1(本),認定こども園北六甲幼稚園,兵庫県神戸市北区有野台３－１２,6511321,2020-12-22,,286660,
A128310000696,A1(幼稚園),28(兵庫),3(私),1(本),認定こども園広陵幼稚園,兵庫県神戸市北区広陵町２－３２,6511213,2020-12-22,,286661,
A128310000703,A1(幼稚園),28(兵庫),3(私),1(本),泉台幼稚園,兵庫県神戸市北区泉台２丁目２－３,6511141,2020-12-22,,286662,
A128310000712,A1(幼稚園),28(兵庫),3(私),1(本),ひよどり台幼稚園,兵庫県神戸市北区ひよどり台５－２,6511123,2020-12-22,,286664,
A128310000721,A1(幼稚園),28(兵庫),3(私),1(本),認定こども園レナ幼稚園,兵庫県神戸市北区有野町唐櫃字西の垣２８３３,6511331,2020-12-22,,286665,
A128310000730,A1(幼稚園),28(兵庫),3(私),1(本),認定こども園正英幼稚園,兵庫県神戸市北区泉台５－１１,6511141,2020-12-22,,286666,
A128310000749,A1(幼稚園),28(兵庫),3(私),1(本),六甲藤原台幼稚園,兵庫県神戸市北区藤原台中町３－１７－２,6511302,2020-12-22,,286667,
A128310000758,A1(幼稚園),28(兵庫),3(私),1(本),いぶき幼稚園,兵庫県神戸市西区井吹台東町４－１９,6512242,2020-12-22,,286669,
A128310000767,A1(幼稚園),28(兵庫),3(私),1(本),日ノ本幼稚園,兵庫県姫路市南新在家５番１６号,6700093,2020-12-22,,286671,
A128310000776,A1(幼稚園),28(兵庫),3(私),1(本),フタバ幼稚園,兵庫県姫路市飾磨区恵美酒５５番地,6728057,2020-12-22,,286673,
A128310000785,A1(幼稚園),28(兵庫),3(私),1(本),マリア幼稚園,兵庫県姫路市網干区浜田８１６－６,6711242,2020-12-22,,286674,
A128310000794,A1(幼稚園),28(兵庫),3(私),1(本),しげる幼稚園,兵庫県姫路市町ノ坪１２５,6700984,2020-12-22,,286675,
A128310000801,A1(幼稚園),28(兵庫),3(私),1(本),エンゼル学園幼稚園,兵庫県姫路市梅ヶ谷町１０－１,6700894,2020-12-22,,286678,
A128310000810,A1(幼稚園),28(兵庫),3(私),1(本),真愛幼稚園,兵庫県姫路市書写８２８,6712201,2020-12-22,,286680,
A128310000829,A1(幼稚園),28(兵庫),3(私),1(本),慈愛幼稚園,兵庫県尼崎市金楽寺町２―３０―１０,6600806,2020-12-22,,286684,
A128310000838,A1(幼稚園),28(兵庫),3(私),1(本),認定こども園関西国際大学附属難波愛の園幼稚園,兵庫県尼崎市西難波町５－８－３３,6600893,2020-12-22,,286685,
A128310000847,A1(幼稚園),28(兵庫),3(私),1(本),園田学園大学附属園田学園幼稚園,兵庫県尼崎市南塚口町１－２４－１４,6610012,2020-12-22,,286688,
A128310000856,A1(幼稚園),28(兵庫),3(私),1(本),常光寺幼稚園,兵庫県尼崎市常光寺１－１８－１０,6600811,2020-12-22,,286689,
A128310000865,A1(幼稚園),28(兵庫),3(私),1(本),みこころ幼稚園,兵庫県尼崎市武庫之荘３－５－９,6610035,2020-12-22,,286690,
A128310000874,A1(幼稚園),28(兵庫),3(私),1(本),みのり幼稚園,兵庫県尼崎市元浜町２－５８,6600085,2020-12-22,,286693,
A128310000883,A1(幼稚園),28(兵庫),3(私),1(本),百合学院幼稚園,兵庫県尼崎市小中島２－１８－１,6610972,2020-12-22,,286695,
A128310000892,A1(幼稚園),28(兵庫),3(私),9(廃),まこと幼稚園,兵庫県尼崎市大庄西町１丁目１９番１５号,6600077,2020-12-22,2022-05-01,286696,
A128310000909,A1(幼稚園),28(兵庫),3(私),1(本),認定こども園からたち幼稚園,兵庫県尼崎市東大物町１―５―５,6600828,2020-12-22,,286700,
A128310000918,A1(幼稚園),28(兵庫),3(私),9(廃),梅花幼稚園,兵庫県尼崎市長洲本通１－９－２３,6600803,2020-12-22,2022-05-01,286703,
A128310000927,A1(幼稚園),28(兵庫),3(私),1(本),明和幼稚園,兵庫県尼崎市富松町２－３５－４６,6610003,2020-12-22,,286704,
A128310000936,A1(幼稚園),28(兵庫),3(私),1(本),めぐみ幼稚園,兵庫県尼崎市西立花町２－６－２０,6600054,2020-12-22,,286706,
A128310000945,A1(幼稚園),28(兵庫),3(私),1(本),立花愛の園幼稚園,兵庫県尼崎市立花町３－２０－２７,6610025,2020-12-22,,286707,
A128310000954,A1(幼稚園),28(兵庫),3(私),1(本),武庫之荘幼稚園,兵庫県尼崎市武庫之荘西２－４４－３５,6610034,2020-12-22,,286710,
A128310000963,A1(幼稚園),28(兵庫),3(私),9(廃),常性幼稚園,兵庫県尼崎市西難波町１丁目２８－２０,6600893,2020-12-22,2022-05-01,286712,
A128310000972,A1(幼稚園),28(兵庫),3(私),1(本),武庫からたち幼稚園,兵庫県尼崎市武庫之荘５―３５―２,6610035,2020-12-22,,286714,
A128310000981,A1(幼稚園),28(兵庫),3(私),1(本),母智幼稚園,兵庫県尼崎市武庫の里２丁目１１－２０,6610041,2020-12-22,,286715,
A128310000990,A1(幼稚園),28(兵庫),3(私),1(本),武庫愛の園幼稚園,兵庫県尼崎市南武庫之荘４－５－２３,6610033,2020-12-22,,286717,
A128310001007,A1(幼稚園),28(兵庫),3(私),9(廃),梅花東幼稚園,兵庫県尼崎市長洲本通１丁目７番３５号,6600803,2020-12-22,2021-05-27,286718,
A128310001016,A1(幼稚園),28(兵庫),3(私),1(本),たけぞの幼稚園,兵庫県尼崎市南武庫之荘１－１０－１,6610033,2020-12-22,,286719,
A128310001025,A1(幼稚園),28(兵庫),3(私),1(本),武庫東からたち幼稚園,兵庫県尼崎市武庫之荘本町１―１０―１０,6610031,2020-12-22,,286720,
A128310001034,A1(幼稚園),28(兵庫),3(私),1(本),園田慈愛幼稚園,兵庫県尼崎市食満５－１０－４０,6610982,2020-12-22,,286721,
A128310001043,A1(幼稚園),28(兵庫),3(私),1(本),錦江幼稚園,兵庫県明石市東仲ノ町３－５,6730886,2020-12-22,,286731,
