公園_全国地方公共団体コード,地物・地点_ID,公園_ID,公園_名称,公園_名称（カナ）,公園_名称（英字）,公園_説明,緯度,経度,公園_座標参照系,公園_座標参照系コード,画像,公園_画像_ライセンス,公園_所在地,公園_面積（平方メートル）,公園_遊具,公園_トイレ,公園_駐車場,公園_備考,公園_市民レポート
352071,,kdpark000046,東和公園,トウワコウエン,,街区公園,34.0281425,131.9241168,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/046touwakouenn.jpg,CC BY 4.0,下松市東和一丁目91,1331,ブランコ・シーソー・すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000047,東和二丁目公園,トウワニチョウメコウエン,,街区公園,34.0286124,131.9257244,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/047touwanichoumekouenn.jpg,CC BY 4.0,下松市東和二丁目63,191,, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000048,大王公園,ダイオウコウエン,,街区公園,34.038021,131.8876901,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/048daioukouenn.jpg,CC BY 4.0,下松市生野屋二丁目12,771,ブランコ・すべり台・鉄棒・ジャングルジム, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000049,田園調布公園,デンエンチョウフコウエン,,街区公園,34.0383548,131.890664,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/049dennennchouhukouenn.jpg,CC BY 4.0,下松市生野屋四丁目12,364,すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000050,桃山第1公園,モモヤマダイイチコウエン,,街区公園,34.0282206,131.9182156,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/050momoyamadai1kouenn.jpg,CC BY 4.0,下松市桃山町109番2,406,土管, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000051,桃山第2公園,モモヤマダイニコウエン,,街区公園,34.0272864,131.9188929,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/051momoyamadai2kouenn.jpg,CC BY 4.0,下松市桃山町99,1116,ブランコ・シーソー・すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000052,桃山第3公園,モモヤマダイサンコウエン,,街区公園,34.0272359,131.9174629,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/052momoyamadai3kouenn.jpg,CC BY 4.0,下松市桃山町41番2,299, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000053,昭和町第1公園,ショウワチョウダイイチコウエン,,街区公園,34.0190840,131.8803958,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/053shouwachoudai1kouenn.jpg,CC BY 4.0,下松市大字河内10202,456,ブランコ・すべり台・鉄棒・ジャングルジム, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000054,昭和町第2公園,ショウワチョウダイニコウエン,,街区公園,34.0158767,131.8824698,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/054shouwachoudai2kouenn.jpg,CC BY 4.0,下松市昭和町二丁目11,1389, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000055,若草台公園,ワカクサダイコウエン,,街区公園,34.023743,131.8674166,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/055wakakusadaikouenn.jpg,CC BY 4.0,下松市藤光町一丁目13,362,ブランコ・すべり台, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000056,切山公園,キリヤマコウエン,,街区公園,34.0370907,131.9226791,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/056kiriyamakouenn.jpg,CC BY 4.0,下松市大字切山331番5,1063,ブランコ・すべり台, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000057,中央町第2公園,チュウオウチョウダイニコウエン,,街区公園,34.0169553,131.8626522,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/057chuuouchoudai2kouenn.jpg,CC BY 4.0,下松市中央町7,598,ブランコ・すべり台・鉄棒・うんてい, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000058,中央町第3公園,チュウオウチョウダイサンコウエン,,街区公園,34.0178526,131.8616351,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/058chuuouchoudai3kouenn.jpg,CC BY 4.0,下松市中央町11,299, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000059,上地公園,アゲジコウエン,,街区公園,34.0416096,131.8694711,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/059agejikouenn.jpg,CC BY 4.0,下松市大字末武上545,286,ブランコ・鉄棒・うんてい, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000060,山手町公園,ヤマテチョウコウエン,,街区公園,34.0356521,131.8532844,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/060yamatechoukouenn.jpg,CC BY 4.0,下松市大字末武中1415番39,713,ブランコ・すべり台, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000061,幸ヶ丘公園,サチガオカコウエン,,街区公園,34.0294087,131.8964653,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/061satigaokakouenn.jpg,CC BY 4.0,下松市大字河内643番108,255, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000062,花垣公園,ハナガキコウエン,,街区公園,33.9983972,131.8767651,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/062hanagakikouenn.jpg,CC BY 4.0,下松市大字東豊井1053番21,153,ブランコ・すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000063,鳥越第1公園,トリゴエダイイチコウエン,,街区公園,34.0272818,131.8421795,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/063torigoedai1kouenn.jpg,CC BY 4.0,下松市大字末武中10033番203,1309,ブランコ・すべり台・ジャングルジム, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000064,鳥越第2公園,トリゴエダイニコウエン,,街区公園,34.0259763,131.8417274,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/064torigoedai2kouenn.jpg,CC BY 4.0,下松市大字末武中10033番204,723,シーソー・すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000065,上時宗公園,カミトキムネコウエン,,街区公園,34.0423969,131.8794305,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/065kamitokimunekouenn.jpg,CC BY 4.0,下松市生野屋西三丁目24,1137,ブランコ・すべり台・鉄棒・ジャングルジム, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000066,深浦公園,フカウラコウエン,,街区公園,33.9456501,131.8254102,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/066hukaurakouenn.jpg,CC BY 4.0,下松市大字笠戸島1119番1,1033, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000067,出合第1公園,デアイダイイチコウエン,,街区公園,34.0244708,131.8958322,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/067deaidai1kouenn.jpg,CC BY 4.0,下松市大字河内1038番45,172,ブランコ・すべり台, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000068,出合第2公園,デアイダイニコウエン,,街区公園,34.0239603,131.8944184,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/068deaidai2kouenn.jpg,CC BY 4.0,下松市大字河内1718番1,606,すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000069,出合第3公園,デアイダイサンコウエン,,街区公園,34.0245602,131.8975442,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/069deaidai3kouenn.jpg,CC BY 4.0,下松市大字河内1032番18,144,ブランコ・すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000070,出合第4公園,デアイダイヨンコウエン,,街区公園,34.024326,131.8954215,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/070deaidai4kouenn.jpg,CC BY 4.0,下松市大字河内1043番20,146,, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000071,昭和通り上公園,ショウワドオリカミコウエン,,街区公園,34.0182357,131.8768148,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/071shouwadoorikamikouenn.jpg,CC BY 4.0,下松市大字河内2755番1,1043,すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000073,セントシティ公園,セントシティコウエン,,街区公園,34.0275254,131.8989993,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/073senntosithikouenn.jpg,CC BY 4.0,下松市大字河内620番86,2544,ブランコ・ロッキンパッピー・すべり台・ジャングルジム,,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000074,万ノ木台公園,マンノキダイコウエン,,街区公園,34.0373521,131.8850769,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/074mannnokidaikouenn.jpg,CC BY 4.0,下松市生野屋一丁目4,624,ブランコ・ロッキンパッピー・すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000075,瑞穂町一丁目公園,ミズホチョウイッチョウメコウエン,,街区公園,34.0222766,131.8564135,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/075mizuhochouiichoumekouenn.jpg,CC BY 4.0,下松市瑞穂町一丁目4,844,ブランコ・ロッキンパッピー・すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000076,星が丘第2公園,ホシガオカダイニコウエン,,街区公園,34.0193694,131.8980045,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/076hosigaokadai2kouenn.jpg,CC BY 4.0,下松市星が丘三丁目2,705,ブランコ・すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000077,星が丘二丁目第1公園,ホシガオカニチョウメダイイチコウエン,,街区公園,34.0179293,131.8992219,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/077hosigaokanichoumedai1kouenn.jpg,CC BY 4.0,下松市星が丘二丁目9,1042, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000078,星が丘二丁目第2公園,ホシガオカニチョウメダイニコウエン,,街区公園,34.0179757,131.8988859,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/078hosigaokanichoumedai2kouenn.jpg,CC BY 4.0,下松市星が丘二丁目9,750, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000079,リバーサイド公園,リバーサイドコウエン,,街区公園,34.018113,131.8590032,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/079riba-saidokouenn.jpg,CC BY 4.0,下松市せせらぎ町三丁目13,455,すべり台・鉄棒・ブランコ, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000080,東河原公園,ヒガシガワラコウエン,,街区公園,34.0279447,131.8598853,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/080higasikawaharakouenn.jpg,CC BY 4.0,下松市望町一丁目13,143,鉄棒・ジャングルジム・ミニアスレ, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000081,和田岩崎公園,ワダイワサキコウエン,,街区公園,34.0334476,131.8510709,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/081wadaiwasakikouenn.jpg,CC BY 4.0,下松市大字末武中1357番23,158, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000082,つつじケ丘公園,ツツジガオカコウエン,,街区公園,34.0197492,131.8744061,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/082tutujigaokakouenn.jpg,CC BY 4.0,下松市大字河内1番15,158,すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000083,光陽台公園,コウヨウダイコウエン,,街区公園,34.0188884,131.8730139,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/083kouyoudaikouenn.jpg,CC BY 4.0,下松市桜町二丁目10,305,ブランコ・すべり台・鉄棒・ジャングルジム, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000084,東町公園,ヒガシマチコウエン,,街区公園,34.0364664,131.8768251,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/084higasimatikouenn.jpg,CC BY 4.0,下松市大字生野屋1292番2,158, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000085,和田堂ノ口公園,ワダドウノグチコウエン,,街区公園,34.033187,131.8541051,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/085wadadounogutikouenn.jpg,CC BY 4.0,下松市大字末武中1476番7,329,ブランコ・すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000086,久保市公園,クボイチコウエン,,街区公園,34.0305774,131.9100194,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/086kuboitikouenn.jpg,CC BY 4.0,下松市大字切山19番22,156, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000087,美里町三丁目公園,ミサトチョウサンチョウメコウエン,,街区公園,34.0223633,131.8629259,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/087misatochousannchoumekouenn.jpg,CC BY 4.0,下松市美里町三丁目1,198, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000088,東陽七丁目公園,トウヨウナナチョウメコウエン,,街区公園,34.0331089,131.9136642,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/088touyounanachoumekouenn.jpg,CC BY 4.0,下松市東陽七丁目9,424, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000089,生野屋西三丁目　東時宗公園,イクノヤニシサンチョウメ　ヒガシトキムネコウエン,,街区公園,34.0402132,131.8829925,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/089ikunoyanisisannchoumehigasitokimunekouenn.jpg,CC BY 4.0,下松市生野屋西三丁目16,214,,,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000090,末光団地公園,スエミツダンチコウエン,,街区公園,34.0170917,131.8728326,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/090suemitudanntikouenn.jpg,CC BY 4.0,下松市桜町一丁目5,274,すべり台・鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000091,ウイズ公園,ウイズコウエン,,街区公園,34.003563,131.8767741,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/091uizukouenn.jpg,CC BY 4.0,下松市大字東豊井1969番28,320, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000092,生野屋三丁目西村公園,イクノヤサンチョウメニシムラコウエン,,街区公園,34.0412117,131.8886459,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/092ikunoyasannchoumenisimurakouenn.jpg,CC BY 4.0,下松市生野屋三丁目5,173, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000093,南花岡五丁目第1公園,ミナミハナオカゴチョウメダイイチコウエン,,街区公園,34.0315177,131.8707415,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/093minamihanaokagochoumedai1kouenn.jpg,CC BY 4.0,下松市南花岡五丁目4,322,鉄棒, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000094,南花岡五丁目第2公園,ミナミハナオカゴチョウメダイニコウエン,,街区公園,34.0326088,131.8713487,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/094minamihanaokagochoumedai2kouenn.jpg,CC BY 4.0,下松市南花岡五丁目3,171, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000095,ソレアード公園,ソレアードコウエン,,街区公園,34.0052754,131.8754904,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/095sorea-dokouenn.jpg,CC BY 4.0,下松市大字東豊井1956番24,210, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000096,ミーティア桜町公園,ミーティアサクラチョウコウエン,,街区公園,34.017055,131.8706634,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/096mi-thiasakurachoukouenn.jpg,CC BY 4.0,下松市桜町一丁目23,153, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000097,望町四丁目公園,ノゾミチョウヨンチョウメコウエン,,街区公園,34.0276554,131.8559954,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/097nozomichouyonnchoumekouenn.jpg,CC BY 4.0,下松市望町四丁目4,131, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000098,中部1号公園,チュウブイチゴウコウエン,,街区公園,34.0169323,131.8582588,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/098chuubu1goukouenn.jpg,CC BY 4.0,下松市せせらぎ町二丁目5,1000,ブランコ・すべり台, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000099,中部2号公園,チュウブニゴウコウエン,,街区公園,34.0156327,131.8607657,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/099chuubu2goukouenn.jpg,CC BY 4.0,下松市せせらぎ町一丁目5,1000,ブランコ・すべり台, ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000100,生野屋コミュニティ広場,イクノヤコミュニティヒロバ,,街区公園,34.0369215,131.890179,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/100ikunoyakomyunithi-hiroba.jpg,CC BY 4.0,下松市生野屋西五丁目4,5879, ,1,1,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000101,南花岡二丁目公園,ミナミハナオカニチョウメコウエン,,街区公園,34.0352462,131.8665231,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/101minamihanaokanichoumekouenn.jpg,CC BY 4.0,下松市南花岡二丁目12,301, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000102,上地第2公園,アゲジダイニコウエン,,街区公園,34.0399918,131.8682199,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/102agejidai2kouenn.jpg,CC BY 4.0,下松市大字末武上573番24,165, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
352071,,kdpark000103,平田東公園,ヒラタヒガシコウエン,,街区公園,34.0235474,131.8611087,世界測地系,,https://www.city.kudamatsu.lg.jp/toshiseibi/documents/103hiratahigasikouenn.jpg,CC BY 4.0,下松市美里町三丁目13,944, , ,,,https://logoform.jp/form/AcMw/kdmtparkreport
