逢坂,1,1,34.0515082762608,131.195045113564,逢坂,U34,,
逢坂,1,2,34.0515438330401,131.194503307343,逢坂,U34,,
赤崎神社,2,1,33.9597323173579,131.176350465278,赤崎神社,S17,,
赤崎神社,2,2,33.9597197579113,131.176133090935,赤崎神社,S17,,
赤崎神社,2,3,33.9597323619906,131.177331220578,赤崎神社,S17,,
赤崎神社,2,4,33.9593920941948,131.177115943462,赤崎神社,S17,,
明石被服前,3,1,34.0050983444932,131.21022105217,明石被服前,U26,,
明石被服前,3,2,34.0050005100548,131.210231781006,明石被服前,U26,,
厚狭駅,4,1,34.0544194411197,131.160444617271,厚狭駅,S65,,
厚狭警察署前,5,1,34.0571882918281,131.17275595665,厚狭警察署前,S66,,
厚狭警察署前,5,2,34.0580015947765,131.173308491707,厚狭警察署前,S66,,
厚狭本町,6,1,34.0537261063293,131.169144188762,厚狭本町,S63,,
厚狭本町,6,2,34.0538827715238,131.168606344849,厚狭本町,S63,,
厚狭郵便局前,7,1,34.0548366646183,131.162688926152,厚狭郵便局前,S64,,
厚狭郵便局前,7,2,34.0549583310478,131.162806944008,厚狭郵便局前,S64,,
荒草,8,1,34.0417384686443,131.172627210617,荒草,S59,,
荒草,8,2,34.0418273708815,131.17237508297,荒草,S59,,
有帆,9,1,34.0198940257747,131.204217802124,有帆,S45,,
有帆,9,2,34.0199923807134,131.20409581998,有帆,S45,,
有帆小前,10,1,34.0182328033475,131.202497223407,有帆小前,S42,,
有帆小前,10,2,34.0183400524454,131.202318798141,有帆小前,S42,,
石井手,11,1,34.0120354387631,131.193532347679,石井手,S40,,
石井手,11,2,34.0124845516492,131.194009780884,石井手,S40,,
鵜ノ島,12,1,33.9635350655586,131.236624717712,鵜ノ島,U19,,
鵜ノ島,12,2,33.9632681120643,131.236919760704,鵜ノ島,U19,,
宇部駅,13,1,34.0029681865395,131.221534609795,宇部駅,U9,,
宇部市役所,14,1,33.9513166525636,131.246473789215,宇部市役所,U25,,
宇部市役所,14,2,33.9511297575958,131.246355772018,宇部市役所,U25,,
宇部新川駅前,15,1,33.9579867173786,131.242096424103,宇部新川駅前,U23,,
宇部中央,16,1,33.9542402475279,131.24395927663,宇部中央,U24,,
宇部中央,16,2,33.9540905612597,131.243750064327,宇部中央,U24,,
宇部中央,16,3,33.9542007949076,131.243717180721,宇部中央,U24,,
大野,17,1,34.040756091885,131.212028861046,大野,U4,,
大野,17,2,34.0408672211726,131.212023496628,大野,U4,,
大浜,18,1,33.9505955643054,131.163276449297,大浜,S80,,
大浜,18,2,33.9507854175405,131.162331840837,大浜,S80,,
大浜西口,19,1,33.9571279594833,131.160449981689,大浜西口,S78,,
大浜西口,19,2,33.9574171784636,131.160374879837,大浜西口,S78,,
岡崎,20,1,34.0501126573284,131.170851588249,岡崎,S61,,
岡崎,20,2,34.050388228318,131.170862317085,岡崎,S61,,
小野田駅,21,1,34.0072000190733,131.184833594306,小野田駅,S1,,
小野田駅,21,2,34.0073605268273,131.18529516838,小野田駅,S1,,
小野田駅,21,3,34.006832829557,131.18442158372,小野田駅,S1,,
小野田港,22,1,33.9726626281235,131.177004225862,小野田港,S14,,
小野田港,22,2,33.9726198718648,131.17683827877,小野田港,S14,,
香川学園前,23,1,33.9738102771497,131.231876158152,香川学園前,U17,,
香川学園前,23,2,33.9723307032277,131.231764554977,香川学園前,U17,,
叶松団地,24,1,33.9691586838686,131.185947060585,叶松団地,S34,,
上梅田,25,1,33.9757205848741,131.191220283508,上梅田,S38,,
上梅田,25,2,33.9755115021073,131.191349029541,上梅田,S38,,
刈屋,28,1,33.9612436903068,131.162740588188,刈屋,S77,,
刈屋,28,2,33.9613899239082,131.162804264107,刈屋,S77,,
刈屋上条,29,1,33.9622019867642,131.165032360692,刈屋上条,S76,,
刈屋上条,29,2,33.9623087260314,131.164976502222,刈屋上条,S76,,
北叶松,30,1,33.971004965103,131.186456680298,北叶松,S35,,
木戸,31,1,33.9630767953934,131.167482733727,木戸,S75,,
木戸,31,2,33.9632102721405,131.167831420898,木戸,S75,,
記念館前,32,1,33.95760405842,131.246532797813,記念館前,U22,,
記念館前,32,2,33.957453033408,131.246133650878,記念館前,U22,,
きらら交流館,33,1,33.9455093978009,131.167976260185,きらら交流館,S81,,
きらら交流館,33,2,33.9464617248744,131.167246699333,きらら交流館,S81,,
際波台,34,1,34.0016918456822,131.203016638756,際波台,U29,,
際波台東口,35,1,34.0035774203505,131.206747124896,際波台東口,U27,,
際波台東口,35,2,34.0034351361501,131.2069272995,際波台東口,U27,,
楴山,36,1,34.0098342013302,131.189655623442,楴山,S39,,
楴山,36,2,34.0095770094893,131.189165711403,楴山,S39,,
楴山西,37,1,34.0095319253563,131.18073284626,楴山西,S49,,
楴山西,37,2,34.009972156722,131.180491447449,楴山西,S49,,
楴山西,37,3,34.0112528203666,131.18179500103,楴山西,S49,,
楴山西,37,4,34.0110393777175,131.181365847588,楴山西,S49,,
蔵本,38,1,34.0114129023534,131.204266548157,蔵本,S47,,
蔵本,38,2,34.011301734307,131.204153895378,蔵本,S47,,
公園通,39,1,33.9790702958612,131.177562475204,公園通,S13,,
公園通,39,2,33.9791637120668,131.177433729172,公園通,S13,,
公園通,39,3,33.9778603227339,131.177959442139,公園通,S13,,
公園前,40,1,34.0025162606448,131.205261647371,公園前,U28,,
公園前,40,2,34.0025768382349,131.205811500549,公園前,U28,,
鴻城高校入口,41,1,34.0033906647586,131.217007040977,鴻城高校入口,U8,,
鴻城高校入口,41,2,34.0030838121574,131.217591762543,鴻城高校入口,U8,,
厚南市民センター,42,1,33.9931094485302,131.218778581335,厚南市民センター,U11,,
厚南市民センター,42,2,33.9931266869081,131.218587677896,厚南市民センター,U11,,
厚南鍋倉,43,1,33.9979071815447,131.220311522484,厚南鍋倉,U10,,
厚南鍋倉,43,2,33.997457990389,131.220064759254,厚南鍋倉,U10,,
小松原,44,1,33.9609844829432,131.241021091423,小松原,U20,,
小松原,44,2,33.9609072362229,131.240880800416,小松原,U20,,
ゴルフセンター前,45,1,34.0357212653431,131.175641313814,ゴルフセンター前,U58,,
ゴルフセンター前,45,2,34.0368664807582,131.174756884575,ゴルフセンター前,U58,,
迫条,46,1,34.0059655133789,131.213407516479,迫条,U7,,
迫条,46,2,34.0058454438408,131.213455796242,迫条,U7,,
サンパークおのだ,47,1,33.9854757514874,131.172342896461,サンパークおのだ,S9,,
山陽小野田市民病院,48,1,33.9982813682895,131.17699454597,山陽小野田市民病院,S4,,
児童公園口,49,1,34.0160905385641,131.180314071786,児童公園口,S54,,
島通り,50,1,33.9595173323625,131.243641376495,島通り,U21,,
島通り,50,2,33.9596285674532,131.243137121201,島通り,U21,,
市民病院入口,51,1,33.9983074471362,131.180475354195,市民病院入口,S3,,
市民病院入口,51,2,33.9996283120783,131.180942058563,市民病院入口,S3,,
市民病院入口,51,3,33.9989834485283,131.18027150631,市民病院入口,S3,,
下田橋,52,1,34.0373510239544,131.208525896072,下田橋,U5,,
下田橋,52,2,34.0386268293277,131.209019422531,下田橋,U5,,
市役所前,53,1,34.0035863388811,131.182873249054,市役所前,S2,,
市役所前,53,2,34.0030259993485,131.182470917702,市役所前,S2,,
新川,54,1,34.0452989331054,131.209582686424,新川,U32,,
新川,54,2,34.0453700520323,131.20989382267,新川,U32,,
新地,55,1,33.98163253532,131.216652989388,新地,U13,,
新地,55,2,33.9821663268348,131.216524243355,新地,U13,,
神明町,56,1,33.9376216548727,131.177819500999,神明町,S26,,
神明町,56,2,33.9376258309274,131.177699967929,神明町,S26,,
水神町,58,1,33.9636196008317,131.171457767487,水神町,S74,,
水神町,58,2,33.9636818899804,131.171141266823,水神町,S74,,
須恵小前,59,1,33.9716767350879,131.180040836334,須恵小前,S33,,
須恵小前,59,2,33.9715699636996,131.180035471916,須恵小前,S33,,
スポーツセンター前,60,1,33.9892387292787,131.172723770142,スポーツセンター前,S8,,
スポーツセンター前,60,2,33.9901950161264,131.173126101494,スポーツセンター前,S8,,
銭ヶ原,61,1,34.047636934664,131.203590631485,銭ヶ原,U33,,
銭ヶ原,61,2,34.0479446873368,131.203215235987,銭ヶ原,U33,,
杣尻,62,1,34.046312371372,131.171114444733,杣尻,S60,,
杣尻,62,2,34.0472591255047,131.170637011528,杣尻,S60,,
大和団地前,63,1,34.00877151714,131.207517385483,大和団地前,U6,,
大和団地前,63,2,34.0085313877213,131.207597851753,大和団地前,U6,,
田尻,64,1,34.0238227527689,131.205334067345,田尻,S44,,
田尻,64,2,34.022524494158,131.204733252525,田尻,S44,,
千崎,65,1,34.0227468004401,131.181548237801,千崎,S57,,
千崎,65,2,34.0237560617786,131.180303692818,千崎,S57,,
茶屋,66,1,34.0447127570256,131.218654617048,茶屋,U3,,
茶屋,66,2,34.0446233023456,131.21882557869,茶屋,U3,,
中央市場入口,67,1,33.9757072391656,131.223540902138,中央市場入口,U15,,
中央市場入口,67,2,33.9754091850086,131.224554777145,中央市場入口,U15,,
加藤,68,1,34.0536416592775,131.171585813784,加藤,S62,,
加藤,68,2,34.0537916592775,131.172654035344,加藤,S62,,
加藤,68,3,34.0521522173161,131.172105811146,加藤,S62,,
加藤,68,4,34.0544138856771,131.171961672913,加藤,S62,,
加藤,68,5,34.0534861012388,131.173415780067,加藤,S62,,
千代町,69,1,33.9836119905402,131.177857518196,千代町,S11,,
千代町,69,2,33.9830604174406,131.177718043327,千代町,S11,,
土取,70,1,34.0149968728891,131.203590631485,土取,S46,,
土取,70,2,34.0157438835282,131.203365325928,土取,S46,,
中川通,71,1,33.9886293693525,131.177444458008,中川通,S7,,
中川通,71,2,33.9884559007067,131.177315711975,中川通,S7,,
中州郷,72,1,33.9913292020119,131.217886805534,中州郷,U12,,
中州郷,72,2,33.9907465426813,131.217377185822,中州郷,U12,,
赤目入口,73,1,34.0432275702631,131.220279335976,赤目入口,U2,,
赤目入口,73,2,34.0433609218297,131.220214962959,赤目入口,U2,,
中村,74,1,34.0305671522746,131.207056045532,中村,S43,,
中村,74,2,34.0296913449491,131.206701993942,中村,S43,,
流川,75,1,33.9754225307171,131.1995190382,流川,U31,,
流川,75,2,33.9752356905595,131.199567317963,流川,U31,,
西叶松,76,1,33.9707291390165,131.184048056602,西叶松,S36,,
西の浜,77,1,33.963419385711,131.176151633263,西の浜,S16,,
西の浜,77,2,33.96323696749,131.176130175591,西の浜,S16,,
西の浜,77,3,33.9640823173025,131.174976825714,西の浜,S16,,
西の浜,77,4,33.9641446056171,131.17460668087,西の浜,S16,,
西割,78,1,33.9771752566157,131.208756566048,西割,U30,,
西割,78,2,33.9770106617487,131.208692193031,西割,U30,,
日赤前,79,1,33.9546094781244,131.184471845627,日赤前,S31,,
萩森口,80,1,34.0141297970037,131.196445226669,萩森口,S41,,
萩森口,80,2,34.0140141868856,131.196123361588,萩森口,S41,,
波瀬の崎,81,1,33.95830923815,131.174292512878,波瀬の崎,S18,,
波瀬の崎,81,2,33.9582843326499,131.174162480479,波瀬の崎,S18,,
浜田町,82,1,34.0048982285965,131.197105050087,浜田町,S48,,
浜田町,82,2,34.0044357328611,131.198108196259,浜田町,S48,,
東割,83,1,33.9771307715165,131.217457652092,東割,U14,,
東割,83,2,33.9781138844029,131.216583251953,東割,U14,,
東割,83,3,33.9767259571138,131.216057538986,東割,U14,,
ひばりが丘,84,1,34.0178870596618,131.180056929588,ひばりが丘,S52,,
ひばりが丘中央,85,1,34.0169790180981,131.180210009617,ひばりが丘中央,S53,,
平原,86,1,33.9752178960431,131.228610277176,平原,U16,,
平原,86,2,33.9751066803157,131.228846311569,平原,U16,,
平原口,87,1,34.0110438244394,131.180083751678,平原口,S50,,
平原口,87,2,34.0123122775561,131.180307894527,平原口,S50,,
